date,site,parameter,value,units
2018-09-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0744,mg/L
2018-08-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0789,mg/L
2018-07-18,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0837,mg/L
2018-06-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.113,mg/L
2018-05-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0824,mg/L
2018-04-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.053,mg/L
2018-03-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0575,mg/L
2018-02-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0588,mg/L
2018-01-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0527,mg/L
2017-12-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0559,mg/L
2017-12-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0617,mg/L
2017-11-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0605,mg/L
2017-10-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0668,mg/L
2017-09-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0797,mg/L
2017-08-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0715,mg/L
2017-07-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0768,mg/L
2017-06-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0839,mg/L
2017-05-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0648,mg/L
2017-04-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0671,mg/L
2017-03-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0756,mg/L
2017-02-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0941,mg/L
2017-01-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0613,mg/L
2016-12-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0587,mg/L
2016-11-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0612,mg/L
2016-10-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0665,mg/L
2016-09-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0722,mg/L
2016-08-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.071,mg/L
2016-07-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0739,mg/L
2016-06-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0847,mg/L
2016-05-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0711,mg/L
2016-04-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0593,mg/L
2016-03-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0507,mg/L
2016-02-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.102,mg/L
2016-01-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.062,mg/L
2015-12-09,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0551,mg/L
2015-11-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0552,mg/L
2015-10-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0655,mg/L
2015-09-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0666,mg/L
2015-08-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.153,mg/L
2015-07-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0696,mg/L
2015-06-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0724,mg/L
2015-05-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0808,mg/L
2015-04-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0418,mg/L
2015-03-09,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0513,mg/L
2015-02-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0513,mg/L
2015-01-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0541,mg/L
